"","Commune","Code.Insee"
"205","HINDISHEIM",67197
"206","HINSBOURG",67198
"207","HINSINGEN",67199
"208","HIPSHEIM",67200
"209","HIRSCHLAND",67201
"210","HOCHFELDEN",67202
"211","HOCHSTETT",67203
"212","HOERDT",67205
"213","HOFFEN",67206
"214","HOHATZENHEIM",67207
"215","HOHENGOEFT",67208
"216","HOHFRANKENHEIM",67209
"217","LE HOHWALD",67210
"218","HOHWILLER",67211
"219","HOLTZHEIM",67212
"220","HUNSPACH",67213
"221","HURTIGHEIM",67214
"222","HUTTENDORF",67215
"223","HUTTENHEIM",67216
"225","IMBSHEIM",67219
"226","INGENHEIM",67220
"227","INGOLSHEIM",67221
"228","INGWILLER",67222
"229","INNENHEIM",67223
"230","IRMSTETT",67224
"231","ISSENHAUSEN",67225
"232","ITTENHEIM",67226
"233","ITTERSWILLER",67227
"234","JETTERSWILLER",67229
"235","KALTENHOUSE",67230
"236","KAUFFENHEIM",67231
"237","KEFFENACH",67232
"238","KERTZFELD",67233
"239","KESKASTEL",67234
"240","KESSELDORF",67235
"241","KIENHEIM",67236
"242","KILSTETT",67237
"243","KINDWILLER",67238
"244","KINTZHEIM",67239
"245","KIRCHHEIM",67240
"246","KIRRBERG",67241
"247","KIRRWILLER BOSSELSHAUSEN",67242
"248","KLEINFRANKENHEIM",67243
"249","KLEINGOEFT",67244
"250","KNOERSHEIM",67245
"251","KOGENHEIM",67246
"252","KOLBSHEIM",67247
"253","KRAUTERGERSHEIM",67248
"254","KRAUTWILLER",67249
"255","KRIEGSHEIM",67250
"256","KUHLENDORF",67251
"257","KURTZENHOUSE",67252
"258","KUTTOLSHEIM",67253
"259","KUTZENHAUSEN",67254
"260","LA PETITE PIERRE",67371
"261","LA VANCELLE",67505
"262","LA WALCK",67512
"263","LABROQUE",67066
"264","LALAYE",67255
"265","LAMPERTHEIM",67256
"266","LAMPERTSLOCH",67257
"267","LANDERSHEIM",67258
"268","LANGENSOULTZBACH",67259
"269","LAUBACH",67260
"270","LAUTERBOURG",67261
"271","LEITERSWILLER",67262
"272","LEMBACH",67263
"273","LEUTENHEIM",67264
"274","LICHTENBERG",67265
"275","LIMERSHEIM",67266
"276","LIPSHEIM",67268
"277","LITTENHEIM",67269
"278","LIXHAUSEN",67270
"279","LOBSANN",67271
"280","LOCHWILLER",67272
"281","LOHR",67273
"282","LORENTZEN",67274
"283","LUPSTEIN",67275
"284","LUTZELHOUSE",67276
"285","MACKENHEIM",67277
"286","MACKWILLER",67278
"287","MAENNOLSHEIM",67279
"288","MAISONSGOUTTE",67280
"289","MARCKOLSHEIM",67281
"290","MARLENHEIM",67282
"291","MARMOUTIER",67283
"292","MATTSTAL",67284
"293","MATZENHEIM",67285
"294","MEISTRATZHEIM",67286
"295","MELSHEIM",67287
"296","MEMMELSHOFFEN",67288
"297","MENCHHOFFEN",67289
"298","MERKWILLER PECHELBRONN",67290
"299","MERTZWILLER",67291
"300","MIETESHEIM",67292
"301","MINVERSHEIM",67293
"302","MITSCHDORF",67294
"303","MITTELBERGHEIM",67295
"304","MITTELHAUSBERGEN",67296
"305","MITTELHAUSEN",67297
"306","MITTELSCHAEFFOLSHEIM",67298
"307","MOLLKIRCH",67299
"308","MOLSHEIM",67300
"309","MOMMENHEIM",67301
"310","MONSWILLER",67302
"311","MORSBRONN LES BAINS",67303
"312","MORSCHWILLER",67304
"313","MOTHERN",67305
"314","MUHLBACH SUR BRUCHE",67306
"315","MULHAUSEN",67307
"316","MUNCHHAUSEN",67308
"317","MUSSIG",67310
"318","MUTTERSHOLTZ",67311
"319","MUTZENHOUSE",67312
"320","MUTZIG",67313
"321","NATZWILLER",67314
"322","NEEWILLER LAUTERBOURG",67315
"323","NEHWILLER",67316
"324","NEUBOIS",67317
"325","NEUGARTHEIM",67318
"326","NEUHAEUSEL",67319
"327","NEUVE EGLISE",67320
"328","NEUVILLER LA ROCHE",67321
"329","NEUWILLER LES SAVERNE",67322
"330","NIEDERBRONN LES BAINS",67324
"331","NIEDERHASLACH",67325
"332","NIEDERHAUSBERGEN",67326
"333","NIEDERLAUTERBACH",67327
"334","NIEDERMODERN",67328
"335","NIEDERNAI",67329
"336","NIEDERROEDERN",67330
"337","NIEDERSCHAEFFOLSHEIM",67331
"338","NIEDERSEEBACH",67332
"339","NIEDERSOULTZBACH",67333
"340","NIEDERSTEINBACH",67334
"341","NORDHEIM",67335
"342","NORDHOUSE",67336
"343","NOTHALTEN",67337
"344","OBENHEIM",67338
"345","OBERBRONN ZINSWILLER",67340
"346","OBERDORF SPACHBACH",67341
"347","OBERHASLACH",67342
"348","OBERHAUSBERGEN",67343
"349","OBERHOFFEN LES WISSEMBOURG",67344
"350","OBERHOFFEN SUR MODER",67345
"351","OBERLAUTERBACH",67346
"352","OBERMODERN",67347
"353","OBERNAI",67348
"354","OBERROEDERN",67349
"355","OBERSCHAEFFOLSHEIM",67350
"356","OBERSOULTZBACH",67352
"357","OBERSTEINBACH",67353
"358","ODRATZHEIM",67354
"359","OERMINGEN",67355
"360","OFFENDORF",67356
"361","OFFWILLER",67358
"362","OHLUNGEN",67359
"363","OHNENHEIM",67360
"364","OLWISHEIM",67361
"365","ORSCHWILLER",67362
"366","OSTHOFFEN",67363
"367","OSTHOUSE",67364
"368","OTTERSTHAL",67366
"369","OTTERSWILLER",67367
"370","OTTROTT",67368
"371","OTTWILLER",67369
"372","PETERSBACH",67370
"373","PFAFFENHOFFEN",67372
"374","PFALZWEYER",67373
"375","PFETTISHEIM",67374
"376","PFULGRIESHEIM",67375
"377","PLAINE",67377
"378","PLOBSHEIM",67378
"379","PREUSCHDORF",67379
"380","PRINTZHEIM",67380
"381","PUBERG",67381
"382","QUATZENHEIM",67382
"383","RANGEN",67383
"384","RANRUPT",67384
"385","RATZWILLER",67385
"386","RAUWILLER",67386
"387","REICHSFELD",67387
"388","REICHSHOFFEN",67388
"389","REIMERSWILLER",67457
"390","REINHARDSMUNSTER",67391
"391","REIPERTSWILLER",67392
"392","REITWILLER",67393
"393","RETSCHWILLER",67394
"394","REUTENBOURG",67395
"395","REXINGEN",67396
"396","RHINAU",67397
"397","RICHTOLSHEIM",67398
"398","RIEDHEIM",67399
"399","RIEDSELTZ",67400
